step,source_index,timestamp,relative_time_sec,image,control_index,telemetry_index,control_timestamp,control_relative_time_sec,telemetry_timestamp,telemetry_relative_time_sec,linear,angular,orientation,speed,battery,signal_level,gps_signal,latitude,longitude,vibration
0,0,1773963228.088494,0.0,000000.png,0,0,1773948823.964389,0.0,1773948828.075,0.0,0.0,0.0,64.0,0.0,53.0,5.0,0.0,1000.0,1000.0,0.0
1,1,1773963228.320433,0.23193883895874023,000001.png,0,1,1773948823.964389,0.0,1773948828.075,0.0,0.0,0.0,64.0,0.0,53.0,5.0,0.0,1000.0,1000.0,0.0
2,2,1773963228.619692,0.5311980247497559,000002.png,1,2,1773948825.0032532,1.0388641357421875,1773948828.613,0.5379998683929443,0.0,0.0,64.0,0.0,53.0,5.0,0.0,1000.0,1000.0,0.0
3,3,1773963228.888631,0.8001370429992676,000003.png,1,4,1773948825.0032532,1.0388641357421875,1773948829.124,1.0490000247955322,0.0,0.0,64.0,0.0,53.0,5.0,0.0,1000.0,1000.0,0.0
4,4,1773963229.133069,1.0445749759674072,000004.png,1,4,1773948825.0032532,1.0388641357421875,1773948829.124,1.0490000247955322,0.0,0.0,64.0,0.0,53.0,5.0,0.0,1000.0,1000.0,0.0
5,5,1773963229.363205,1.2747108936309814,000005.png,1,5,1773948825.0032532,1.0388641357421875,1773948829.124,1.0490000247955322,0.0,0.0,64.0,0.0,53.0,5.0,0.0,1000.0,1000.0,0.0
6,6,1773963229.621706,1.5332119464874268,000006.png,1,6,1773948825.0032532,1.0388641357421875,1773948829.614,1.5390000343322754,0.0,0.0,64.0,0.0,53.0,5.0,0.0,1000.0,1000.0,0.0
7,7,1773963229.833799,1.745304822921753,000007.png,2,7,1773948826.05152,2.0871310234069824,1773948829.614,1.5390000343322754,0.0,0.0,64.0,0.0,53.0,5.0,0.0,1000.0,1000.0,0.0
8,8,1773963230.123884,2.0353899002075195,000008.png,2,8,1773948826.05152,2.0871310234069824,1773948830.117,2.0420000553131104,0.0,0.0,64.0,0.0,53.0,5.0,0.0,1000.0,1000.0,0.0
9,9,1773963230.381878,2.293383836746216,000009.png,2,9,1773948826.05152,2.0871310234069824,1773948830.117,2.0420000553131104,0.0,0.0,64.0,0.0,53.0,5.0,0.0,1000.0,1000.0,0.0
10,10,1773963230.632631,2.5441370010375977,000010.png,2,10,1773948826.05152,2.0871310234069824,1773948830.623,2.547999858856201,0.0,0.0,65.0,0.0,53.0,5.0,0.0,1000.0,1000.0,0.0
11,11,1773963230.859528,2.771034002304077,000011.png,3,12,1773948827.0923357,3.127946615219116,1773948830.623,2.547999858856201,0.0,0.0,65.0,0.0,53.0,5.0,0.0,1000.0,1000.0,0.0
12,12,1773963231.023599,2.9351048469543457,000012.png,3,13,1773948827.0923357,3.127946615219116,1773948831.207,3.131999969482422,0.0,0.0,65.0,0.0,53.0,5.0,0.0,1000.0,1000.0,0.0
13,13,1773963231.21085,3.1223559379577637,000013.png,3,13,1773948827.0923357,3.127946615219116,1773948831.207,3.131999969482422,0.0,0.0,65.0,0.0,53.0,5.0,0.0,1000.0,1000.0,0.0
14,14,1773963231.422519,3.3340249061584473,000014.png,3,14,1773948827.0923357,3.127946615219116,1773948831.207,3.131999969482422,0.0,0.0,65.0,0.0,53.0,5.0,0.0,1000.0,1000.0,0.0
15,15,1773963231.612676,3.524181842803955,000015.png,3,15,1773948827.0923357,3.127946615219116,1773948831.622,3.546999931335449,0.0,0.0,64.0,0.0,53.0,5.0,0.0,1000.0,1000.0,0.0
16,16,1773963231.879166,3.7906718254089355,000016.png,4,17,1773948828.0999131,4.135524034500122,1773948831.622,3.546999931335449,0.0,0.0,64.0,0.0,53.0,5.0,0.0,1000.0,1000.0,0.0
17,17,1773963232.070872,3.9823780059814453,000017.png,4,18,1773948828.0999131,4.135524034500122,1773948832.141,4.065999984741211,0.0,0.0,65.0,0.0,53.0,5.0,0.0,1000.0,1000.0,0.0
18,18,1773963232.285527,4.197032928466797,000018.png,4,19,1773948828.0999131,4.135524034500122,1773948832.141,4.065999984741211,0.0,0.0,65.0,0.0,53.0,5.0,0.0,1000.0,1000.0,0.0
19,19,1773963232.46922,4.380725860595703,000019.png,4,20,1773948828.0999131,4.135524034500122,1773948832.689,4.613999843597412,0.0,0.0,66.0,0.029999999329447746,53.0,5.0,0.0,1000.0,1000.0,0.0
20,20,1773963232.689948,4.601454019546509,000020.png,4,20,1773948828.0999131,4.135524034500122,1773948832.689,4.613999843597412,0.0,0.0,66.0,0.029999999329447746,53.0,5.0,0.0,1000.0,1000.0,0.0
21,21,1773963232.875193,4.786699056625366,000021.png,5,21,1773948829.1479537,5.18356466293335,1773948832.689,4.613999843597412,0.0,0.0,66.0,0.029999999329447746,53.0,5.0,0.0,1000.0,1000.0,0.0
