x,y,z,t
351.0,-154.0,-390.0,1773948827.073
351.0,-154.0,-390.0,1773948827.073
344.0,-145.0,-384.0,1773948827.572
344.0,-145.0,-384.0,1773948827.572
349.0,-148.0,-384.0,1773948828.092
349.0,-148.0,-384.0,1773948828.092
339.0,-154.0,-369.0,1773948828.592
339.0,-154.0,-369.0,1773948828.592
350.0,-156.0,-365.0,1773948829.092
350.0,-156.0,-365.0,1773948829.092
353.0,-154.0,-383.0,1773948829.592
353.0,-154.0,-383.0,1773948829.592
353.0,-154.0,-383.0,1773948829.592
334.0,-148.0,-370.0,1773948830.115
334.0,-148.0,-370.0,1773948830.115
345.0,-151.0,-340.0,1773948830.613
345.0,-151.0,-340.0,1773948830.613
345.0,-151.0,-340.0,1773948830.613
345.0,-147.0,-377.0,1773948831.112
345.0,-147.0,-377.0,1773948831.112
401.0,-176.0,-401.0,1773948831.612
401.0,-176.0,-401.0,1773948831.612
434.0,-270.0,-413.0,1773948832.132
434.0,-270.0,-413.0,1773948832.132
374.0,-540.0,-445.0,1773948832.632
374.0,-540.0,-445.0,1773948832.632
374.0,-540.0,-445.0,1773948832.632
379.0,-765.0,-757.0,1773948833.132
379.0,-765.0,-757.0,1773948833.132
486.0,-850.0,-1029.0,1773948833.632
486.0,-850.0,-1029.0,1773948833.632
486.0,-850.0,-1029.0,1773948833.632
592.0,-831.0,-1479.0,1773948834.152
592.0,-831.0,-1479.0,1773948834.152
519.0,-671.0,-1545.0,1773948834.652
519.0,-671.0,-1545.0,1773948834.652
781.0,-815.0,-1845.0,1773948835.156
995.0,-882.0,-2451.0,1773948835.652
995.0,-882.0,-2451.0,1773948835.652
995.0,-882.0,-2451.0,1773948835.652
1069.0,-648.0,-2842.0,1773948836.175
1069.0,-648.0,-2842.0,1773948836.175
1062.0,-490.0,-2894.0,1773948836.673
1062.0,-490.0,-2894.0,1773948836.673
1062.0,-490.0,-2894.0,1773948836.673
1033.0,-451.0,-2907.0,1773948837.192
1033.0,-451.0,-2907.0,1773948837.192
1077.0,-446.0,-2918.0,1773948837.692
1077.0,-446.0,-2918.0,1773948837.692
1077.0,-446.0,-2918.0,1773948837.692
1126.0,-461.0,-2965.0,1773948838.212
1126.0,-461.0,-2965.0,1773948838.212
1126.0,-461.0,-2965.0,1773948838.212
1030.0,-382.0,-2884.0,1773948838.714
1030.0,-382.0,-2884.0,1773948838.714
1166.0,-452.0,-2980.0,1773948839.232
1166.0,-452.0,-2980.0,1773948839.232
1166.0,-452.0,-2980.0,1773948839.232
1201.0,-241.0,-3306.0,1773948839.732
1201.0,-241.0,-3306.0,1773948839.732
1065.0,219.0,-3290.0,1773948840.252
1065.0,219.0,-3290.0,1773948840.252
1207.0,95.0,-3391.0,1773948840.752
1207.0,95.0,-3391.0,1773948840.752
1246.0,-225.0,-3391.0,1773948841.273
1246.0,-225.0,-3391.0,1773948841.273
1089.0,-619.0,-3413.0,1773948841.772
1089.0,-619.0,-3413.0,1773948841.772
1089.0,-619.0,-3413.0,1773948841.772
1089.0,-619.0,-3413.0,1773948841.772
869.0,-829.0,-3438.0,1773948842.292
869.0,-829.0,-3438.0,1773948842.292
735.0,-835.0,-3403.0,1773948842.792
735.0,-835.0,-3403.0,1773948842.792
735.0,-835.0,-3403.0,1773948842.792
735.0,-835.0,-3403.0,1773948842.792
747.0,-848.0,-3420.0,1773948843.312
747.0,-848.0,-3420.0,1773948843.312
913.0,-835.0,-3459.0,1773948843.812
913.0,-835.0,-3459.0,1773948843.812
913.0,-835.0,-3459.0,1773948843.812
913.0,-835.0,-3459.0,1773948843.812
1080.0,-600.0,-3445.0,1773948844.332
1080.0,-600.0,-3445.0,1773948844.332
1255.0,-267.0,-3428.0,1773948844.832
1255.0,-267.0,-3428.0,1773948844.832
1255.0,-267.0,-3428.0,1773948844.832
1268.0,49.0,-3405.0,1773948845.352
1024.0,300.0,-3283.0,1773948845.852
1024.0,300.0,-3283.0,1773948845.852
1095.0,309.0,-3333.0,1773948846.373
1095.0,309.0,-3333.0,1773948846.373
995.0,714.0,-2971.0,1773948846.873
995.0,714.0,-2971.0,1773948846.873
644.0,1133.0,-2075.0,1773948847.394
644.0,1133.0,-2075.0,1773948847.394
496.0,1222.0,-1228.0,1773948847.892
496.0,1222.0,-1228.0,1773948847.892
496.0,1222.0,-1228.0,1773948847.892
591.0,914.0,-552.0,1773948848.412
591.0,914.0,-552.0,1773948848.412
591.0,914.0,-552.0,1773948848.412
764.0,413.0,-535.0,1773948848.913
764.0,413.0,-535.0,1773948848.913
867.0,132.0,-844.0,1773948849.432
867.0,132.0,-844.0,1773948849.432
951.0,-73.0,-1140.0,1773948849.932
951.0,-73.0,-1140.0,1773948849.932
982.0,-176.0,-1633.0,1773948850.452
982.0,-176.0,-1633.0,1773948850.452
982.0,-176.0,-1633.0,1773948850.452
913.0,-2.0,-1994.0,1773948850.958
913.0,-2.0,-1994.0,1773948850.958
748.0,347.0,-2012.0,1773948851.472
748.0,347.0,-2012.0,1773948851.472
748.0,347.0,-2012.0,1773948851.472
586.0,583.0,-1665.0,1773948851.972
586.0,583.0,-1665.0,1773948851.972
586.0,583.0,-1665.0,1773948851.972
586.0,583.0,-1665.0,1773948851.972
505.0,529.0,-1438.0,1773948852.492
505.0,529.0,-1438.0,1773948852.492
503.0,573.0,-1308.0,1773948852.992
503.0,573.0,-1308.0,1773948852.992
503.0,573.0,-1308.0,1773948852.992
538.0,549.0,-1109.0,1773948853.513
538.0,549.0,-1109.0,1773948853.513
