step,source_index,timestamp,relative_time_sec,image,control_index,telemetry_index,control_timestamp,control_relative_time_sec,telemetry_timestamp,telemetry_relative_time_sec,linear,angular,orientation,speed,battery,signal_level,gps_signal,latitude,longitude,vibration
0,0,1776900218.189351,0.0,000000.png,,0,,,1776885820.513,0.0,,,305.0,0.0,100.0,0.0,28.75,1000.0,1000.0,0.0
1,4,1776900220.189756,2.0004048347473145,000001.png,,35,,,1776885820.513,0.0,,,305.0,0.0,100.0,0.0,28.75,1000.0,1000.0,0.0
2,8,1776900222.19183,4.002478837966919,000002.png,,35,,,1776885820.513,0.0,,,305.0,0.0,100.0,0.0,28.75,1000.0,1000.0,0.0
3,12,1776900224.192097,6.002745866775513,000003.png,,35,,,1776885820.513,0.0,,,305.0,0.0,100.0,0.0,28.75,1000.0,1000.0,0.0
4,16,1776900226.1927,8.00334882736206,000004.png,,35,,,1776885820.513,0.0,,,305.0,0.0,100.0,0.0,28.75,1000.0,1000.0,0.0
5,20,1776900228.193029,10.00367784500122,000005.png,,36,,,1776885838.485,17.971999883651733,,,266.0,1.100000023841858,100.0,0.0,27.329999923706055,1000.0,1000.0,0.0
6,24,1776900230.193743,12.00439190864563,000006.png,,36,,,1776885838.485,17.971999883651733,,,266.0,1.100000023841858,100.0,0.0,27.329999923706055,1000.0,1000.0,0.0
7,28,1776900232.193129,14.003777980804443,000007.png,,36,,,1776885838.485,17.971999883651733,,,266.0,1.100000023841858,100.0,0.0,27.329999923706055,1000.0,1000.0,0.0
8,32,1776900234.19342,16.004068851470947,000008.png,,36,,,1776885838.485,17.971999883651733,,,266.0,1.100000023841858,100.0,0.0,27.329999923706055,1000.0,1000.0,0.0
9,36,1776900236.194486,18.00513482093811,000009.png,,41,,,1776885838.485,17.971999883651733,,,266.0,1.100000023841858,100.0,0.0,27.329999923706055,1000.0,1000.0,0.0
10,40,1776900426.725667,208.53631591796875,000010.png,,417,,,1776886028.859,208.34599995613098,,,114.0,0.3100000023841858,100.0,0.0,29.5,1000.0,1000.0,0.0
11,44,1776900428.726209,210.53685784339905,000011.png,,421,,,1776886030.863,210.34999990463257,,,132.0,0.07999999821186066,100.0,0.0,29.5,1000.0,1000.0,0.0
12,48,1776900492.737255,274.5479040145874,000012.png,,549,,,1776886094.616,274.1029999256134,,,327.0,0.0,100.0,0.0,32.5,1000.0,1000.0,0.0
13,52,1776900494.736915,276.5475640296936,000013.png,,553,,,1776886097.125,276.6119999885559,,,351.0,0.009999999776482582,100.0,0.0,34.0,1000.0,1000.0,0.0
14,56,1776900496.737663,278.54831194877625,000014.png,,557,,,1776886099.18,278.6670000553131,,,6.0,0.3100000023841858,100.0,0.0,34.0,1000.0,1000.0,0.0
