step,source_index,timestamp,relative_time_sec,image,control_index,telemetry_index,control_timestamp,control_relative_time_sec,telemetry_timestamp,telemetry_relative_time_sec,linear,angular,orientation,speed,battery,signal_level,gps_signal,latitude,longitude,vibration
0,0,1776901065.520128,0.0,000000.png,,0,,,1776886665.352,0.0,,,344.0,0.0,100.0,0.0,27.5,1000.0,1000.0,0.0
1,12,1776901071.52169,6.001561880111694,000001.png,,12,,,1776886671.391,6.039000034332275,,,205.0,0.14000000059604645,100.0,0.0,27.75,1000.0,1000.0,0.0
2,24,1776901077.522642,12.002513885498047,000002.png,,24,,,1776886677.445,12.092999935150146,,,85.0,1.4199999570846558,100.0,0.0,27.5,1000.0,1000.0,0.0
3,36,1776901083.523476,18.003347873687744,000003.png,,36,,,1776886683.13,17.778000116348267,,,108.0,0.05999999865889549,100.0,0.0,27.25,1000.0,1000.0,0.0
4,48,1776901089.524584,24.004456043243408,000004.png,,48,,,1776886689.45,24.098000049591064,,,45.0,0.009999999776482582,100.0,0.0,27.25,1000.0,1000.0,0.0
5,60,1776901095.525538,30.005409955978394,000005.png,,60,,,1776886695.489,30.13700008392334,,,21.0,0.27000001072883606,100.0,0.0,27.5,1000.0,1000.0,0.0
6,72,1776901101.52615,36.00602197647095,000006.png,,72,,,1776886701.522,36.170000076293945,,,233.0,0.75,100.0,0.0,27.5,1000.0,1000.0,0.0
7,84,1776901107.527511,42.00738286972046,000007.png,,85,,,1776886707.55,42.19799995422363,,,217.0,0.009999999776482582,100.0,0.0,27.5,1000.0,1000.0,0.0
8,96,1776901113.528526,48.00839805603027,000008.png,,96,,,1776886713.063,47.710999965667725,,,69.0,0.09000000357627869,100.0,0.0,27.5,1000.0,1000.0,0.0
9,108,1776901119.529371,54.00924301147461,000009.png,,108,,,1776886719.291,53.93899989128113,,,230.0,0.07999999821186066,100.0,0.0,27.5,1000.0,1000.0,0.0
10,120,1776901125.530465,60.01033687591553,000010.png,,120,,,1776886725.204,59.85199999809265,,,100.0,0.1899999976158142,94.0,0.0,27.5,1000.0,1000.0,0.0
