x,y,z,t
-9332.0,2598.0,-30.0,1776886664.83
-9944.0,2101.0,-225.0,1776886665.335
-9439.0,2881.0,87.0,1776886665.83
-8282.0,3316.0,1392.0,1776886666.33
-4372.0,1796.0,5840.0,1776886666.838
-242.0,701.0,7377.0,1776886667.33
588.0,779.0,6942.0,1776886667.83
626.0,681.0,6600.0,1776886668.33
791.0,549.0,6530.0,1776886668.836
331.0,409.0,6942.0,1776886669.35
108.0,531.0,6712.0,1776886669.83
451.0,661.0,6310.0,1776886670.35
683.0,564.0,6055.0,1776886670.85
951.0,956.0,6280.0,1776886671.35
-314.0,1019.0,7360.0,1776886671.856
-3182.0,334.0,7270.0,1776886672.35
-4954.0,-379.0,5447.0,1776886672.87
-7517.0,266.0,1417.0,1776886673.377
-9164.0,316.0,-11580.0,1776886673.87
-1689.0,-2581.0,-878.0,1776886674.878
-2257.0,-4156.0,-368.0,1776886675.37
-1399.0,-6286.0,607.0,1776886675.876
-444.0,-6834.0,2652.0,1776886676.37
-614.0,-6301.0,3775.0,1776886676.87
-434.0,-6936.0,2820.0,1776886677.39
1753.0,-7146.0,3147.0,1776886677.872
1056.0,-6599.0,117.0,1776886678.37
1778.0,-5549.0,1432.0,1776886679.372
1841.0,-5871.0,75.0,1776886679.89
3091.0,-5509.0,1830.0,1776886680.399
2501.0,-5374.0,2775.0,1776886680.896
2068.0,-6056.0,2452.0,1776886681.39
1106.0,-7076.0,2240.0,1776886681.896
1986.0,-5979.0,2840.0,1776886682.399
916.0,-4816.0,4187.0,1776886683.411
708.0,-5036.0,4417.0,1776886683.916
1358.0,-4489.0,4632.0,1776886684.417
656.0,-5134.0,4755.0,1776886684.911
-707.0,-5094.0,4657.0,1776886685.41
-2557.0,-4509.0,4510.0,1776886685.91
-2432.0,-3591.0,4622.0,1776886686.416
-3384.0,-4216.0,4820.0,1776886686.91
-4044.0,-3214.0,3392.0,1776886687.43
-3657.0,-2746.0,2907.0,1776886687.91
-4184.0,-3674.0,2937.0,1776886688.431
-4319.0,-4304.0,2845.0,1776886688.937
-2334.0,-4929.0,2840.0,1776886689.43
-764.0,-5276.0,2697.0,1776886689.936
-484.0,-4621.0,2847.0,1776886690.43
-832.0,-4144.0,2897.0,1776886690.95
-522.0,-3131.0,2197.0,1776886691.456
-42.0,-2556.0,2122.0,1776886691.95
-1674.0,-2244.0,1565.0,1776886692.456
-2629.0,-1634.0,1590.0,1776886692.959
-2914.0,-509.0,1407.0,1776886693.456
-2827.0,-304.0,1352.0,1776886693.951
-2944.0,-616.0,1357.0,1776886694.456
-2052.0,-749.0,550.0,1776886694.971
-2402.0,-539.0,97.0,1776886695.45
-1757.0,-866.0,-1138.0,1776886696.477
2036.0,2958.0,5947.0,1776886696.976
2223.0,3516.0,3457.0,1776886697.479
-1839.0,446.0,3372.0,1776886698.477
-2484.0,-1624.0,5937.0,1776886698.976
-3374.0,-784.0,5985.0,1776886699.471
-3264.0,-799.0,5985.0,1776886699.971
-3972.0,-1691.0,5937.0,1776886700.991
-3894.0,-1759.0,6000.0,1776886701.471
-3519.0,-1101.0,5912.0,1776886701.991
-3452.0,-969.0,6000.0,1776886702.496
-3874.0,-999.0,5882.0,1776886703.498
-3777.0,-1004.0,5922.0,1776886703.991
-3559.0,-896.0,6110.0,1776886704.497
-3617.0,-831.0,5967.0,1776886704.991
-3672.0,-661.0,5995.0,1776886705.511
-3719.0,-841.0,6040.0,1776886706.016
-3984.0,-1026.0,5820.0,1776886706.511
-4009.0,-949.0,5740.0,1776886707.018
-4159.0,-1081.0,5707.0,1776886707.511
-4062.0,-964.0,5600.0,1776886708.031
-4237.0,-1286.0,5330.0,1776886708.512
-4242.0,-1419.0,5255.0,1776886709.031
-4127.0,-1194.0,5167.0,1776886709.531
-4687.0,-1516.0,4202.0,1776886710.037
136.0,-2429.0,2412.0,1776886710.531
-217.0,-709.0,1112.0,1776886711.031
263.0,-241.0,1320.0,1776886711.537
-484.0,-621.0,1015.0,1776886712.037
-357.0,-681.0,1030.0,1776886712.537
-269.0,-656.0,1097.0,1776886713.031
-572.0,-2511.0,1065.0,1776886713.537
1053.0,-3504.0,2407.0,1776886714.031
3778.0,-3986.0,1692.0,1776886714.546
6376.0,-3751.0,-548.0,1776886715.057
6381.0,-3806.0,-553.0,1776886715.551
6143.0,-3719.0,-240.0,1776886716.058
