front_left,front_right,rear_left,rear_right,t
0.0,0.0,0.0,0.0,1776886664.258
0.0,0.0,0.0,0.0,1776886664.27
0.0,0.0,0.0,0.0,1776886664.296
0.0,0.0,0.0,0.0,1776886664.31
0.0,0.0,0.0,0.0,1776886664.755
0.0,0.0,0.0,0.0,1776886664.77
0.0,0.0,0.0,0.0,1776886664.8
0.0,0.0,0.0,0.0,1776886664.813
0.0,0.0,0.0,0.0,1776886664.83
0.0,0.0,0.0,0.0,1776886665.256
0.0,0.0,0.0,0.0,1776886665.27
0.0,0.0,0.0,0.0,1776886665.295
0.0,0.0,0.0,0.0,1776886665.31
0.0,0.0,0.0,0.0,1776886665.335
0.0,0.0,0.0,0.0,1776886665.75
0.0,0.0,0.0,0.0,1776886665.776
0.0,0.0,0.0,0.0,1776886665.79
0.0,0.0,0.0,0.0,1776886665.817
0.0,0.0,0.0,0.0,1776886665.83
-3.0,-3.0,-3.0,-3.0,1776886666.256
-3.0,-3.0,-3.0,-3.0,1776886666.27
-3.0,-3.0,-3.0,-3.0,1776886666.291
-3.0,-3.0,-3.0,-3.0,1776886666.318
-3.0,-3.0,-3.0,-3.0,1776886666.33
-42.0,-41.0,-42.0,-41.0,1776886666.755
-42.0,-41.0,-42.0,-41.0,1776886666.77
-42.0,-41.0,-42.0,-41.0,1776886666.801
-42.0,-41.0,-42.0,-41.0,1776886666.812
-52.0,-52.0,-52.0,-52.0,1776886666.838
-72.0,-73.0,-72.0,-73.0,1776886667.253
-72.0,-73.0,-72.0,-73.0,1776886667.279
-72.0,-73.0,-72.0,-73.0,1776886667.29
-72.0,-73.0,-72.0,-73.0,1776886667.316
-72.0,-73.0,-72.0,-73.0,1776886667.33
-52.0,54.0,-52.0,54.0,1776886667.75
-52.0,54.0,-52.0,54.0,1776886667.776
-52.0,54.0,-52.0,54.0,1776886667.79
-52.0,54.0,-52.0,54.0,1776886667.816
-42.0,44.0,-42.0,44.0,1776886667.83
-14.0,13.0,-14.0,13.0,1776886668.25
-14.0,13.0,-14.0,13.0,1776886668.276
-14.0,13.0,-14.0,13.0,1776886668.29
-14.0,13.0,-14.0,13.0,1776886668.319
-14.0,13.0,-14.0,13.0,1776886668.33
-15.0,7.0,-15.0,7.0,1776886668.756
-15.0,7.0,-15.0,7.0,1776886668.77
-15.0,7.0,-15.0,7.0,1776886668.796
-15.0,7.0,-15.0,7.0,1776886668.81
-15.0,7.0,-15.0,7.0,1776886668.836
-18.0,23.0,-18.0,23.0,1776886669.27
-18.0,27.0,-18.0,27.0,1776886669.297
-18.0,27.0,-18.0,27.0,1776886669.31
-18.0,27.0,-18.0,27.0,1776886669.336
-18.0,27.0,-18.0,27.0,1776886669.35
-19.0,34.0,-19.0,34.0,1776886669.751
-19.0,34.0,-19.0,34.0,1776886669.778
-20.0,33.0,-20.0,33.0,1776886669.79
-20.0,33.0,-20.0,33.0,1776886669.816
-20.0,33.0,-20.0,33.0,1776886669.83
-19.0,30.0,-19.0,30.0,1776886670.276
-19.0,30.0,-19.0,30.0,1776886670.29
-19.0,30.0,-19.0,30.0,1776886670.323
-19.0,30.0,-19.0,30.0,1776886670.335
-19.0,28.0,-19.0,28.0,1776886670.35
-35.0,19.0,-35.0,19.0,1776886670.772
-35.0,19.0,-35.0,19.0,1776886670.8
-35.0,19.0,-35.0,19.0,1776886670.811
-35.0,19.0,-35.0,19.0,1776886670.837
-35.0,19.0,-35.0,19.0,1776886670.85
-29.0,10.0,-29.0,10.0,1776886671.279
27.0,10.0,27.0,10.0,1776886671.292
27.0,10.0,27.0,10.0,1776886671.318
27.0,10.0,27.0,10.0,1776886671.33
27.0,10.0,27.0,10.0,1776886671.35
27.0,13.0,27.0,13.0,1776886671.776
27.0,13.0,27.0,13.0,1776886671.792
27.0,13.0,27.0,13.0,1776886671.818
27.0,13.0,27.0,13.0,1776886671.83
27.0,13.0,27.0,13.0,1776886671.856
45.0,45.0,45.0,45.0,1776886672.27
45.0,45.0,45.0,45.0,1776886672.296
45.0,45.0,45.0,45.0,1776886672.31
45.0,45.0,45.0,45.0,1776886672.336
45.0,45.0,45.0,45.0,1776886672.35
77.0,76.0,77.0,76.0,1776886672.79
88.0,87.0,88.0,87.0,1776886672.817
88.0,87.0,88.0,87.0,1776886672.83
