front_left,front_right,rear_left,rear_right,t
0.0,0.0,0.0,0.0,1776887483.99
0.0,0.0,0.0,0.0,1776887484.01
0.0,0.0,0.0,0.0,1776887484.036
0.0,0.0,0.0,0.0,1776887484.05
0.0,0.0,0.0,0.0,1776887484.076
0.0,0.0,0.0,0.0,1776887484.496
0.0,0.0,0.0,0.0,1776887484.51
0.0,0.0,0.0,0.0,1776887484.531
0.0,0.0,0.0,0.0,1776887484.559
0.0,0.0,0.0,0.0,1776887484.57
0.0,0.0,0.0,0.0,1776887484.989
0.0,0.0,0.0,0.0,1776887485.016
0.0,0.0,0.0,0.0,1776887485.03
0.0,0.0,0.0,0.0,1776887485.057
0.0,0.0,0.0,0.0,1776887485.07
0.0,0.0,0.0,0.0,1776887485.49
0.0,0.0,0.0,0.0,1776887485.515
0.0,0.0,0.0,0.0,1776887485.53
0.0,0.0,0.0,0.0,1776887485.556
0.0,0.0,0.0,0.0,1776887485.57
1.0,26.0,1.0,26.0,1776887485.99
1.0,26.0,1.0,26.0,1776887486.017
1.0,26.0,1.0,26.0,1776887486.029
1.0,26.0,1.0,26.0,1776887486.056
1.0,26.0,1.0,26.0,1776887486.069
1.0,26.0,1.0,26.0,1776887486.51
1.0,26.0,1.0,26.0,1776887486.536
1.0,26.0,1.0,26.0,1776887486.549
1.0,26.0,1.0,26.0,1776887486.575
1.0,26.0,1.0,26.0,1776887486.59
1.0,26.0,1.0,26.0,1776887487.01
1.0,26.0,1.0,26.0,1776887487.03
1.0,26.0,1.0,26.0,1776887487.06
1.0,26.0,1.0,26.0,1776887487.07
1.0,26.0,1.0,26.0,1776887487.096
2.0,1.0,2.0,1.0,1776887487.51
2.0,1.0,2.0,1.0,1776887487.535
2.0,1.0,2.0,1.0,1776887487.55
2.0,1.0,2.0,1.0,1776887487.576
2.0,1.0,2.0,1.0,1776887487.59
28.0,28.0,28.0,28.0,1776887488.016
36.0,38.0,36.0,38.0,1776887488.03
36.0,38.0,36.0,38.0,1776887488.055
36.0,38.0,36.0,38.0,1776887488.07
36.0,38.0,36.0,38.0,1776887488.096
36.0,38.0,36.0,38.0,1776887488.51
36.0,38.0,36.0,38.0,1776887488.536
36.0,38.0,36.0,38.0,1776887488.55
36.0,38.0,36.0,38.0,1776887488.575
36.0,38.0,36.0,38.0,1776887488.59
28.0,30.0,28.0,30.0,1776887489.018
28.0,30.0,28.0,30.0,1776887489.03
28.0,30.0,28.0,30.0,1776887489.056
28.0,30.0,28.0,30.0,1776887489.072
18.0,21.0,18.0,21.0,1776887489.098
0.0,0.0,0.0,0.0,1776887489.521
0.0,0.0,0.0,0.0,1776887489.532
0.0,0.0,0.0,0.0,1776887489.558
0.0,0.0,0.0,0.0,1776887489.57
0.0,0.0,0.0,0.0,1776887489.596
24.0,23.0,24.0,23.0,1776887490.01
24.0,23.0,24.0,23.0,1776887490.035
24.0,23.0,24.0,23.0,1776887490.05
24.0,23.0,24.0,23.0,1776887490.079
34.0,34.0,34.0,34.0,1776887490.09
62.0,60.0,62.0,60.0,1776887490.53
62.0,60.0,62.0,60.0,1776887490.559
62.0,60.0,62.0,60.0,1776887490.57
62.0,60.0,62.0,60.0,1776887490.596
62.0,60.0,62.0,60.0,1776887490.61
90.0,87.0,90.0,87.0,1776887491.03
90.0,87.0,90.0,87.0,1776887491.056
88.0,84.0,88.0,84.0,1776887491.07
88.0,84.0,88.0,84.0,1776887491.096
88.0,84.0,88.0,84.0,1776887491.11
58.0,53.0,58.0,53.0,1776887491.53
58.0,53.0,58.0,53.0,1776887491.558
58.0,53.0,58.0,53.0,1776887491.57
50.0,44.0,50.0,44.0,1776887491.596
50.0,44.0,50.0,44.0,1776887491.61
16.0,12.0,16.0,12.0,1776887492.03
16.0,12.0,16.0,12.0,1776887492.056
16.0,12.0,16.0,12.0,1776887492.07
6.0,7.0,6.0,7.0,1776887492.097
6.0,7.0,6.0,7.0,1776887492.11
30.0,28.0,30.0,28.0,1776887492.538
30.0,28.0,30.0,28.0,1776887492.55
30.0,28.0,30.0,28.0,1776887492.579
30.0,28.0,30.0,28.0,1776887492.59
30.0,28.0,30.0,28.0,1776887492.617
73.0,63.0,73.0,63.0,1776887493.03
73.0,63.0,73.0,63.0,1776887493.056
85.0,75.0,85.0,75.0,1776887493.07
85.0,75.0,85.0,75.0,1776887493.097
85.0,75.0,85.0,75.0,1776887493.11
81.0,70.0,81.0,70.0,1776887493.538
81.0,70.0,81.0,70.0,1776887493.553
75.0,63.0,75.0,63.0,1776887493.57
75.0,63.0,75.0,63.0,1776887493.597
75.0,63.0,75.0,63.0,1776887493.61
43.0,35.0,43.0,35.0,1776887494.03
43.0,35.0,43.0,35.0,1776887494.056
43.0,35.0,43.0,35.0,1776887494.07
43.0,35.0,43.0,35.0,1776887494.096
30.0,25.0,30.0,25.0,1776887494.11
0.0,0.0,0.0,0.0,1776887494.53
0.0,0.0,0.0,0.0,1776887494.556
0.0,0.0,0.0,0.0,1776887494.58
0.0,0.0,0.0,0.0,1776887494.592
0.0,0.0,0.0,0.0,1776887494.61
9.0,10.0,9.0,10.0,1776887495.032
9.0,10.0,9.0,10.0,1776887495.057
9.0,10.0,9.0,10.0,1776887495.07
9.0,10.0,9.0,10.0,1776887495.096
9.0,10.0,9.0,10.0,1776887495.11
28.0,31.0,28.0,31.0,1776887495.55
28.0,31.0,28.0,31.0,1776887495.576
28.0,31.0,28.0,31.0,1776887495.59
28.0,31.0,28.0,31.0,1776887495.61
28.0,31.0,28.0,31.0,1776887495.637
28.0,31.0,28.0,31.0,1776887496.055
28.0,31.0,28.0,31.0,1776887496.07
28.0,31.0,28.0,31.0,1776887496.096
28.0,31.0,28.0,31.0,1776887496.11
28.0,31.0,28.0,31.0,1776887496.136
12.0,13.0,12.0,13.0,1776887496.55
12.0,13.0,12.0,13.0,1776887496.578
0.0,0.0,0.0,0.0,1776887496.59
0.0,0.0,0.0,0.0,1776887496.616
0.0,0.0,0.0,0.0,1776887496.63
0.0,2.0,0.0,2.0,1776887497.058
0.0,2.0,0.0,2.0,1776887497.07
0.0,2.0,0.0,2.0,1776887497.096
0.0,2.0,0.0,2.0,1776887497.11
0.0,2.0,0.0,2.0,1776887497.136
-3.0,16.0,-3.0,16.0,1776887498.05
-3.0,16.0,-3.0,16.0,1776887498.086
-3.0,16.0,-3.0,16.0,1776887498.096
-3.0,16.0,-3.0,16.0,1776887498.11
-3.0,16.0,-3.0,16.0,1776887498.136
-3.0,14.0,-3.0,14.0,1776887498.576
-3.0,14.0,-3.0,14.0,1776887498.59
-3.0,14.0,-3.0,14.0,1776887498.611
-3.0,14.0,-3.0,14.0,1776887498.638
-3.0,14.0,-3.0,14.0,1776887498.65
2.0,0.0,2.0,0.0,1776887499.07
2.0,0.0,2.0,0.0,1776887499.096
2.0,0.0,2.0,0.0,1776887499.11
2.0,0.0,2.0,0.0,1776887499.136
2.0,0.0,2.0,0.0,1776887499.15
25.0,21.0,25.0,21.0,1776887499.57
